Station,Date,AQI,PM2.5
Hsinchu,2024/12/16 20:48,N/A,7
Hsinchu,2024/12/16 20:50,N/A,7
Hsinchu,2024/12/16 20:50,N/A,4
Hsinchu,2024/12/17 00:22,N/A,183.06
Hsinchu,2024/12/17 00:22,N/A,140.72
Hsinchu,2024/12/17 00:22,N/A,183.89
Hsinchu,2024/12/17 00:22,N/A,141.55
Hsinchu,2024/12/17 00:22,N/A,180.57
Hsinchu,2024/12/17 00:22,N/A,144.87
Hsinchu,2024/12/17 00:22,N/A,174.76
Hsinchu,2024/12/17 00:22,N/A,150.68
Hsinchu,2024/12/17 00:22,N/A,162.30
Hsinchu,2024/12/17 00:22,N/A,171.44
Hsinchu,2024/12/17 00:22,N/A,142.38
Hsinchu,2024/12/17 00:22,N/A,182.23
Hsinchu,2024/12/17 00:22,N/A,139.06
Hsinchu,2024/12/17 00:22,N/A,178.91
Hsinchu,2024/12/17 00:22,N/A,145.70
Hsinchu,2024/12/17 00:22,N/A,171.44
Hsinchu,2024/12/17 00:22,N/A,161.47
Hsinchu,2024/12/17 00:22,N/A,147.36
Hsinchu,2024/12/17 00:22,N/A,181.40
Hsinchu,2024/12/17 00:59,N/A,222.07
Hsinchu,2024/12/17 00:59,N/A,238.67
Hsinchu,2024/12/17 00:59,N/A,202.98
Hsinchu,2024/12/17 00:59,N/A,213.77
Hsinchu,2024/12/17 00:59,N/A,201.32
Hsinchu,2024/12/17 00:59,N/A,186.38
Hsinchu,2024/12/17 00:59,N/A,205.47
Hsinchu,2024/12/17 00:59,N/A,165.63
Hsinchu,2024/12/17 00:59,N/A,204.64
Hsinchu,2024/12/17 00:59,N/A,155.66
Hsinchu,2024/12/17 01:57,N/A,169.78
Hsinchu,2024/12/17 01:57,N/A,149.02
Hsinchu,2024/12/17 01:57,N/A,239.50
Hsinchu,2024/12/17 01:57,N/A,226.22
Hsinchu,2024/12/17 01:57,N/A,184.72
Hsinchu,2024/12/17 01:57,N/A,214.60
Hsinchu,2024/12/17 01:57,N/A,183.06
Hsinchu,2024/12/17 01:57,N/A,178.91
Hsinchu,2024/12/17 01:57,N/A,201.32
Hsinchu,2024/12/17 01:59,N/A,167.29
Hsinchu,2024/12/17 01:59,N/A,154.00
Hsinchu,2024/12/17 01:59,N/A,220.41
Hsinchu,2024/12/17 01:59,N/A,221.24
Hsinchu,2024/12/17 01:59,N/A,217.92
Hsinchu,2024/12/17 01:59,N/A,176.42
Hsinchu,2024/12/17 01:59,N/A,207.96
Hsinchu,2024/12/17 12:25,N/A,261.08
Hsinchu,2024/12/17 12:25,N/A,190.53
Hsinchu,2024/12/17 12:25,N/A,228.71
Hsinchu,2024/12/17 12:25,N/A,174.76
Hsinchu,2024/12/17 12:25,N/A,207.13
Hsinchu,2024/12/17 12:26,N/A,169.78
Hsinchu,2024/12/17 12:26,N/A,192.19
Hsinchu,2024/12/17 12:26,N/A,167.29
Hsinchu,2024/12/17 12:26,N/A,173.10
Hsinchu,2024/12/17 14:29,N/A,137.40
Hsinchu,2024/12/17 14:29,N/A,176.42
Hsinchu,2024/12/17 14:29,N/A,137.40
Hsinchu,2024/12/17 14:29,N/A,176.42
Hsinchu,2024/12/17 14:29,N/A,137.40
Hsinchu,2024/12/17 14:29,N/A,261.08
Hsinchu,2024/12/17 14:29,N/A,196.34
Hsinchu,2024/12/17 14:29,N/A,224.56
Hsinchu,2024/12/17 14:29,N/A,188.04
Hsinchu,2024/12/17 14:29,N/A,181.40
Hsinchu,2024/12/17 14:29,N/A,209.62
Hsinchu,2024/12/17 14:29,N/A,155.66
Hsinchu,2024/12/17 14:29,N/A,194.68
Hsinchu,2024/12/17 14:29,N/A,159.81
Hsinchu,2024/12/17 14:29,N/A,172.27
Hsinchu,2024/12/17 14:29,N/A,183.06
Hsinchu,2024/12/17 14:29,N/A,141.55
Hsinchu,2024/12/17 14:29,N/A,188.87
Hsinchu,2024/12/17 14:29,N/A,141.55
Hsinchu,2024/12/17 14:29,N/A,178.08
Hsinchu,2024/12/17 14:30,N/A,148.19
Hsinchu,2024/12/17 14:30,N/A,161.47
Hsinchu,2024/12/17 14:30,N/A,173.93
Hsinchu,2024/12/17 14:30,N/A,134.91
Hsinchu,2024/12/17 14:30,N/A,183.06
Hsinchu,2024/12/17 14:30,N/A,135.74
Hsinchu,2024/12/17 14:30,N/A,173.93
Hsinchu,2024/12/17 14:30,N/A,144.87
Hsinchu,2024/12/17 14:30,N/A,154.00
Hsinchu,2024/12/17 14:30,N/A,176.42
Hsinchu,2024/12/17 14:30,N/A,129.93
Hsinchu,2024/12/17 14:49,N/A,132.42
Hsinchu,2024/12/17 14:54,N/A,217.09
Hsinchu,2024/12/17 14:54,N/A,198.83
Hsinchu,2024/12/17 14:54,N/A,226.22
Hsinchu,2024/12/17 14:54,N/A,169.78
Hsinchu,2024/12/17 14:54,N/A,204.64
Hsinchu,2024/12/17 14:54,N/A,168.95
Hsinchu,2024/12/17 14:54,N/A,173.10
Hsinchu,2024/12/17 14:54,N/A,195.51
Hsinchu,2024/12/17 14:54,N/A,144.04
Hsinchu,2024/12/17 14:54,N/A,188.87
Hsinchu,2024/12/17 14:54,N/A,150.68
Hsinchu,2024/12/17 14:54,N/A,167.29
Hsinchu,2024/12/17 14:54,N/A,181.40
Hsinchu,2024/12/17 14:54,N/A,135.74
Hsinchu,2024/12/17 14:54,N/A,182.23
Hsinchu,2024/12/17 14:54,N/A,144.04
Hsinchu,2024/12/17 14:54,N/A,167.29
Hsinchu,2024/12/17 14:54,N/A,170.61
Hsinchu,2024/12/17 14:54,N/A,134.08
Hsinchu,2024/12/17 14:54,N/A,182.23
Hsinchu,2024/12/17 14:54,N/A,136.57
Hsinchu,2024/12/17 14:54,N/A,171.44
Hsinchu,2024/12/17 14:54,N/A,150.68
Hsinchu,2024/12/17 14:54,N/A,142.38
Hsinchu,2024/12/17 14:54,N/A,181.40
Hsinchu,2024/12/17 14:54,N/A,131.59
Hsinchu,2024/12/17 14:54,N/A,174.76
Hsinchu,2024/12/17 14:54,N/A,143.21
Hsinchu,2024/12/17 14:54,N/A,154.83
Hsinchu,2024/12/17 14:54,N/A,173.10
Hsinchu,2024/12/17 14:54,N/A,129.93
Hsinchu,2024/12/17 14:54,N/A,179.74
Hsinchu,2024/12/17 14:54,N/A,134.08
Hsinchu,2024/12/17 14:54,N/A,171.44
Hsinchu,2024/12/17 14:54,N/A,141.55
Hsinchu,2024/12/17 14:54,N/A,161.47
Hsinchu,2024/12/17 14:54,N/A,163.13
Hsinchu,2024/12/17 14:54,N/A,134.91
Hsinchu,2024/12/17 14:55,N/A,179.74
Hsinchu,2024/12/17 14:55,N/A,129.93
Hsinchu,2024/12/17 14:55,N/A,175.59
Hsinchu,2024/12/17 14:55,N/A,137.40
Hsinchu,2024/12/17 14:55,N/A,168.95
Hsinchu,2024/12/17 14:55,N/A,144.04
Hsinchu,2024/12/17 14:55,N/A,154.83
Hsinchu,2024/12/17 14:55,N/A,164.79
Hsinchu,2024/12/17 14:55,N/A,136.57
Hsinchu,2024/12/17 14:55,N/A,178.91
Hsinchu,2024/12/17 17:03,N/A,0.00
Hsinchu,2024/12/17 17:03,N/A,0.00
Hsinchu,2024/12/17 17:03,N/A,0.00
Hsinchu,2024/12/17 17:03,N/A,0.00
Hsinchu,2024/12/17 17:03,N/A,0.00
Hsinchu,2024/12/17 17:03,N/A,0.00
Hsinchu,2024/12/17 17:03,N/A,0.00
Hsinchu,2024/12/17 17:03,N/A,0.00
Hsinchu,2024/12/17 17:03,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
Hsinchu,2024/12/17 17:04,N/A,0.00
