Station,Date,AQI,PM2.5
Taipower,2024/12/17 12:36,N/A,140.72
Taipower,2024/12/17 12:36,N/A,168.12
Taipower,2024/12/17 12:36,N/A,199.66
Taipower,2024/12/17 12:36,N/A,217.09
Taipower,2024/12/17 12:36,N/A,237.01
Taipower,2024/12/17 12:36,N/A,195.51
Taipower,2024/12/17 12:36,N/A,210.45
Taipower,2024/12/17 12:36,N/A,193.85
Taipower,2024/12/17 12:36,N/A,176.42
Taipower,2024/12/17 12:36,N/A,202.98
Taipower,2024/12/17 12:36,N/A,154.83
Taipower,2024/12/17 12:37,N/A,201.32
Taipower,2024/12/17 12:37,N/A,147.36
