Station,Date,AQI,PM2.5
Xinyi,2024/12/17 00:21,N/A,259.42
Xinyi,2024/12/17 00:21,N/A,215.43
Xinyi,2024/12/17 00:21,N/A,229.54
Xinyi,2024/12/17 00:21,N/A,202.98
Xinyi,2024/12/17 00:21,N/A,202.15
Xinyi,2024/12/17 00:21,N/A,203.81
Xinyi,2024/12/17 00:21,N/A,178.91
Xinyi,2024/12/17 00:21,N/A,204.64
Xinyi,2024/12/17 00:21,N/A,163.13
Xinyi,2024/12/17 00:21,N/A,201.32
Xinyi,2024/12/17 00:21,N/A,154.00
Xinyi,2024/12/17 00:21,N/A,196.34
Xinyi,2024/12/17 00:21,N/A,152.34
Xinyi,2024/12/17 00:21,N/A,189.70
Xinyi,2024/12/17 00:21,N/A,151.51
Xinyi,2024/12/17 00:21,N/A,183.89
Xinyi,2024/12/17 00:21,N/A,153.17
Xinyi,2024/12/17 00:21,N/A,178.08
Xinyi,2024/12/17 00:21,N/A,156.49
Xinyi,2024/12/17 00:21,N/A,165.63
Xinyi,2024/12/17 00:21,N/A,172.27
Xinyi,2024/12/17 00:21,N/A,149.85
Xinyi,2024/12/17 12:37,N/A,185.55
Xinyi,2024/12/17 12:38,N/A,136.57
Xinyi,2024/12/17 12:38,N/A,186.38
Xinyi,2024/12/17 12:38,N/A,136.57
Xinyi,2024/12/17 12:38,N/A,181.40
Xinyi,2024/12/17 12:38,N/A,142.38
Xinyi,2024/12/17 12:38,N/A,173.93
Xinyi,2024/12/17 12:38,N/A,148.19
Xinyi,2024/12/17 12:38,N/A,160.64
Xinyi,2024/12/17 12:38,N/A,170.61
Xinyi,2024/12/17 12:38,N/A,138.23
Xinyi,2024/12/17 12:38,N/A,183.89
Xinyi,2024/12/17 12:38,N/A,132.42
Xinyi,2024/12/17 12:38,N/A,180.57
Xinyi,2024/12/17 12:38,N/A,139.89
Xinyi,2024/12/17 12:38,N/A,172.27
Xinyi,2024/12/17 12:38,N/A,149.02
Xinyi,2024/12/17 12:38,N/A,153.17
