Station,Date,AQI,PM2.5
Zhongzheng,2024/11/19 00:00,32,6
Zhongzheng,2024/11/19 01:00,33,5
Zhongzheng,2024/11/19 02:00,35,5
Zhongzheng,2024/11/19 03:00,37,6
Zhongzheng,2024/11/19 04:00,38,4
Zhongzheng,2024/11/19 05:00,39,5
Zhongzheng,2024/11/19 06:00,40,6
Zhongzheng,2024/11/19 07:00,39,5
Zhongzheng,2024/11/19 08:00,38,7
Zhongzheng,2024/11/19 09:00,36,11
Zhongzheng,2024/11/19 10:00,35,10
Zhongzheng,2024/11/19 11:00,34,6
Zhongzheng,2024/11/19 12:00,33,2
Zhongzheng,2024/11/19 13:00,32,3
Zhongzheng,2024/11/19 14:00,31,7
Zhongzheng,2024/11/19 15:00,31,8
Zhongzheng,2024/11/19 16:00,31,6
Zhongzheng,2024/11/19 17:00,31,5
Zhongzheng,2024/11/19 18:00,31,6
Zhongzheng,2024/11/19 19:00,31,6
Zhongzheng,2024/11/19 20:00,31,6
Zhongzheng,2024/11/19 21:00,32,4
Zhongzheng,2024/11/19 22:00,32,4
Zhongzheng,2024/11/19 23:00,33,9
Zhongzheng,2024/11/20 00:00,35,8
Zhongzheng,2024/11/20 01:00,36,5
Zhongzheng,2024/11/20 02:00,38,3
Zhongzheng,2024/11/20 03:00,39,5
Zhongzheng,2024/11/20 04:00,40,5
Zhongzheng,2024/11/20 05:00,40,4
Zhongzheng,2024/11/20 06:00,39,3
Zhongzheng,2024/11/20 07:00,38,5
Zhongzheng,2024/11/20 08:00,36,6
Zhongzheng,2024/11/20 09:00,35,6
Zhongzheng,2024/11/20 10:00,34,4
Zhongzheng,2024/11/20 11:00,33,4
Zhongzheng,2024/11/20 12:00,32,4
Zhongzheng,2024/11/20 13:00,32,6
Zhongzheng,2024/11/20 14:00,31,3
Zhongzheng,2024/11/20 15:00,32,1
Zhongzheng,2024/11/20 16:00,32,2
Zhongzheng,2024/11/20 17:00,32,5
Zhongzheng,2024/11/20 18:00,32,5
Zhongzheng,2024/11/20 19:00,33,6
Zhongzheng,2024/11/20 20:00,33,6
Zhongzheng,2024/11/20 21:00,33,3
Zhongzheng,2024/11/20 22:00,33,2
Zhongzheng,2024/11/20 23:00,34,1
Zhongzheng,2024/11/21 00:00,36,1
Zhongzheng,2024/11/21 01:00,37,1
Zhongzheng,2024/11/21 02:00,39,2
Zhongzheng,2024/11/21 03:00,40,1
Zhongzheng,2024/11/21 04:00,41,1
Zhongzheng,2024/11/21 05:00,42,3
Zhongzheng,2024/11/21 06:00,42,3
Zhongzheng,2024/11/21 07:00,41,2
Zhongzheng,2024/11/21 08:00,39,7
Zhongzheng,2024/11/21 09:00,37,5
Zhongzheng,2024/11/21 10:00,36,2
Zhongzheng,2024/11/21 11:00,34,5
Zhongzheng,2024/11/21 12:00,33,3
Zhongzheng,2024/11/21 13:00,32,3
Zhongzheng,2024/11/21 14:00,31,4
Zhongzheng,2024/11/21 15:00,30,6
Zhongzheng,2024/11/21 16:00,30,5
Zhongzheng,2024/11/21 17:00,30,2
Zhongzheng,2024/11/21 18:00,31,1
Zhongzheng,2024/11/21 19:00,30,3
Zhongzheng,2024/11/21 20:00,30,2
Zhongzheng,2024/11/21 21:00,30,1
Zhongzheng,2024/11/21 22:00,31,1
Zhongzheng,2024/11/21 23:00,32,2
Zhongzheng,2024/11/22 00:00,33,6
Zhongzheng,2024/11/22 01:00,34,6
Zhongzheng,2024/11/22 02:00,36,3
Zhongzheng,2024/11/22 03:00,37,7
Zhongzheng,2024/11/22 04:00,38,5
Zhongzheng,2024/11/22 05:00,38,5
Zhongzheng,2024/11/22 06:00,38,7
Zhongzheng,2024/11/22 07:00,37,12
Zhongzheng,2024/11/22 08:00,36,10
Zhongzheng,2024/11/22 09:00,35,7
Zhongzheng,2024/11/22 10:00,34,7
Zhongzheng,2024/11/22 11:00,33,6
Zhongzheng,2024/11/22 12:00,32,14
Zhongzheng,2024/11/22 13:00,33,8
Zhongzheng,2024/11/22 14:00,34,7
Zhongzheng,2024/11/22 15:00,35,8
Zhongzheng,2024/11/22 16:00,36,14
Zhongzheng,2024/11/22 17:00,37,14
Zhongzheng,2024/11/22 18:00,38,15
Zhongzheng,2024/11/22 19:00,39,11
Zhongzheng,2024/11/22 20:00,39,10
Zhongzheng,2024/11/22 21:00,39,11
Zhongzheng,2024/11/22 22:00,38,12
Zhongzheng,2024/11/22 23:00,39,16
Zhongzheng,2024/11/23 00:00,43,19
Zhongzheng,2024/11/23 01:00,48,19
Zhongzheng,2024/11/23 02:00,53,21
Zhongzheng,2024/11/23 03:00,53,16
Zhongzheng,2024/11/23 04:00,54,19
Zhongzheng,2024/11/23 05:00,54,17
Zhongzheng,2024/11/23 06:00,51,12
Zhongzheng,2024/11/23 07:00,51,15
Zhongzheng,2024/11/23 08:00,49,12
Zhongzheng,2024/11/23 09:00,49,17
Zhongzheng,2024/11/23 10:00,52,19
Zhongzheng,2024/11/23 11:00,54,19
Zhongzheng,2024/11/23 12:00,55,17
Zhongzheng,2024/11/23 13:00,53,12
Zhongzheng,2024/11/23 14:00,51,14
Zhongzheng,2024/11/23 15:00,47,12
Zhongzheng,2024/11/23 16:00,44,11
Zhongzheng,2024/11/23 17:00,42,8
Zhongzheng,2024/11/23 18:00,41,8
Zhongzheng,2024/11/23 19:00,40,11
Zhongzheng,2024/11/23 20:00,39,9
Zhongzheng,2024/11/23 21:00,39,5
Zhongzheng,2024/11/23 22:00,38,2
Zhongzheng,2024/11/23 23:00,38,7
Zhongzheng,2024/11/24 00:00,38,7
Zhongzheng,2024/11/24 01:00,39,8
Zhongzheng,2024/11/24 02:00,40,7
Zhongzheng,2024/11/24 03:00,40,3
Zhongzheng,2024/11/24 04:00,41,3
Zhongzheng,2024/11/24 05:00,42,2
Zhongzheng,2024/11/24 06:00,42,9
Zhongzheng,2024/11/24 07:00,42,6
Zhongzheng,2024/11/24 08:00,42,3
Zhongzheng,2024/11/24 09:00,42,3
