activity_type,current_activity_type_intensity,cycles_to_calories,cycles_to_distance,data,data16,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
,,,,,,,,,4063,,,,garmin,48,,3488215908,,,,2024-11-26 16:00:00,,,monitoring_b,,,,,,,,,,,,,,,
,,,,,,,,,4063,,,,garmin,,,3488215908,3.25,,,,2024-11-26 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,200,,,,,,,,,
"(6, 1)",,"(0.039, 0.1234)","(1.5924, 2.3886)",,,,,,,,,2024-11-27 00:00:00,,,1942,,,,,,2024-11-26 16:00:00,,,,,,,,,,,,,,,"(5740, 5740)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 164, 168, 65, 0, 2, 0, 10, 158, 0, 0, 20, 60, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 164, 168, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2024-11-26 16:00:00,,,,,,,,,,,0,0,,,,,
,,,,,,on,,,,,,,,,,,,,,,,,,,,,,,,1101571200,,,,,,,,
,,,,200,200,,78,marker,,,,,,,,,,,,,2024-11-26 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 164, 168, 65, 0, 2, 0, 10, 158, 0, 0, 20, 60, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 164, 168, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
sedentary,"(8,)",,,,,,,,,,0,,,,,,,,,,2024-11-26 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 0, 0, 248)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-26 16:01:00,83,,,,,,,,,,-77,,8,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1335,,,,,,1101571260,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(188, 164, 168, 65, 1, 0, 84, 84, 57, 1, 0, 136, 4, 60, 21, 169, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(188, 164, 168, 65, 1, 1, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,84,,,,,,,,,,,,42172,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(6, 88, 1, 176)",,,,,,,,,
,,,,2,2,,54,marker,,,,,,,,,,,,,2024-11-26 16:02:00,,,,,8,1101570300,,,,,,,,,,,
sedentary,"(8,)",,,,,,,,,,0,,,,,,,,,,2024-11-26 16:01:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-26 16:02:00,78,,,,,,,,,,-71,,8,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1474,,,,,,1101571320,,,,,,,,
,,,,,,,,,,92,,,,,,,,,,,,42232,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(34, 0, 0, 248)",,,,,,,,,
,,,,1,1,,54,marker,,,,,,,,,,,,,2024-11-26 16:03:00,,,,,0,1101570420,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-26 16:03:00,81,,,,,,,,,,-74,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1457,,,,,,1101571380,,,,,,,,
,,,,,,,,,,89,,,,,,,,,,,,42292,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(112, 163, 81, 192)",,,,,,,,,
,,,,1,1,,54,marker,,,,,,,,,,,,,2024-11-26 16:04:00,,,,,8,1101570480,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-26 16:04:00,81,,,,,,,,,,-74,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1430,,,,,,1101571440,,,,,,,,
,,,,,,,,,,91,,,,,,,,,,,,42352,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(16, 0, 0, 248)",,,,,,,,,
sedentary,"(72,)",,,,,,,,,,2,,,,,,,,,,2024-11-26 16:04:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-26 16:05:00,75,,,,,,,,,,-67,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1469,,,,,,1101571500,,,,,,,,
,,,,1,1,,41,marker,,,,,,,,,,,,,2024-11-26 16:05:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 0, 4, 240)",,,,,,,,,
sedentary,"(8,)",,,,,,,,,,0,,,,,,,,,,2024-11-26 16:05:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-26 16:06:00,80,,,,,,,,,,-73,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1438,,,,,,1101571560,,,,,,,,
,,,,,,,,,,88,,,,,,,,,,,,42472,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(34, 0, 0, 248)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-26 16:07:00,75,,,,,,,,,,-66,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1404,,,,,,1101571620,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(254, 0, 0, 192)",,,,,,,,,
,,,,4,4,,54,marker,,,,,,,,,,,,,2024-11-26 16:08:00,,,,,0,1101570540,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-26 16:08:00,82,,,,,,,,,,-76,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1396,,,,,,1101571680,,,,,,,,
,,,,,,,,,,87,,,,,,,,,,,,42592,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(20, 0, 0, 248)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-26 16:09:00,78,,,,,,,,,,-71,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1414,,,,,,1101571740,,,,,,,,
,,,,,,,,,,91,,,,,,,,,,,,42652,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 108, 1, 176)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-26 16:10:00,80,,,,,,,,,,-73,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1386,,,,,,1101571800,,,,,,,,
,,,,,,,,,,90,,,,,,,,,,,,42712,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 0, 4, 240)",,,,,,,,,
sedentary,"(104,)",,,,,,,,,,3,,,,,,,,,,2024-11-26 16:10:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-26 16:11:00,76,,,,,,,,,,-68,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1479,,,,,,1101571860,,,,,,,,
,,,,,,,,,,89,,,,,,,,,,,,42772,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 80)",,,,,,,,,
sedentary,"(8,)",,,,,,,,,,0,,,,,,,,,,2024-11-26 16:11:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-26 16:12:00,77,,,,,,,,,,-69,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1440,,,,,,1101571920,,,,,,,,
,,,,,,,,,,87,,,,,,,,,,,,42832,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 92, 1, 176)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-26 16:13:00,75,,,,,,,,,,-66,,7,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1420,,,,,,1101571980,,,,,,,,
sedentary,"(104,)",,,,,,,,,,3,,,,,,,,,,2024-11-26 16:13:00,,,,,,,,,,,,,,,,,
,,,,,,on,,,,,,,,,,,,,,,,,,,,,,,,1101571980,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2024-11-26 16:13:00,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,53,56,,,,,1101571980,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(155, 167, 168, 65, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(155, 167, 168, 65, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
