garmin_product,hardware_version,manufacturer,number,serial_number,software_version,time_created,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_2,unknown_253,unknown_3,unknown_4,unknown_6,unknown_7,unknown_8,unknown_9
4063,,garmin,,3488215908,,,41,,,,,,,,,,,,
,,,,,325,,,,,,,,,,,,,,
,,,,,,,,159,,,6,10,1102052830,,1,,,,0
,,,,,,,,159,,,6,10,1102053562,,18,,,,0
,,,,,,,,159,,,6,10,1102053562,,0,,,,0
,,,,,,,,159,,,6,10,1102059001,,6,,,,0
,,,,,,,,159,,,6,10,1102059060,,7,,,,0
,,,,,,,,159,,,6,10,1102059321,,2,,,,0
,,,,,,,,159,,,6,10,1102059321,,5,,,,0
,,,,,,,,159,,,6,10,1102059577,,27,,,,0
,,,,,,,,159,,,6,10,1102060015,,1,,,,0
,,,,,,,,159,,,6,10,1102060017,,18,,,,0
,,,,,,,,159,,,6,10,1102060808,,0,,,,0
,,,,,,,,159,,,6,10,1102060848,,6,,,,0
,,,,,,,,159,,,6,10,1102060864,,7,,,,0
,,,,,,,,159,,,6,10,1102060906,,2,,,,0
,,,,,,,,159,,,6,10,1102060992,,5,,,,0
,,,,,,,,159,,,6,10,1102063534,,27,,,,0
