"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1011.9","1015.5","18.5","13.2","71","1.4","180","2.8","190","0.0","0.0","--","0.00","--","0","--"
"02","1011.7","1015.3","17.7","12.8","73","1.3","180","3.4","180","0.0","0.0","--","0.00","--","0","--"
"03","1011.7","1015.3","17.1","13.0","77","1.0","180","2.7","170","0.0","0.0","--","0.00","--","0","--"
"04","1011.6","1015.2","16.9","13.4","80","0.8","200","2.2","170","0.0","0.0","--","0.00","--","0","--"
"05","1011.8","1015.4","17.1","12.8","76","1.0","190","4.1","180","0.0","0.0","--","0.00","--","0","--"
"06","1012.6","1016.2","16.7","12.7","77","1.4","230","2.4","180","0.0","0.0","0.0","0.00","--","0","--"
"07","1013.0","1016.6","16.9","12.9","77","1.9","180","2.9","170","0.0","0.0","0.0","0.06","--","0","--"
"08","1013.5","1017.1","17.2","12.9","76","1.1","220","2.8","190","0.0","0.0","0.6","0.30","50.0","0","2.0"
"09","1014.1","1017.7","18.4","13.1","71","0.7","250","2.1","260","0.0","0.0","0.4","0.64","50.0","0","2.0"
"10","1013.7","1017.3","20.5","13.5","64","0.8","170","2.0","180","0.0","0.0","1.0","1.78","--","2","--"
"11","1012.1","1015.7","22.3","13.7","58","0.6","60","2.5","160","0.0","0.0","1.0","2.25","60.0","4","2.0"
"12","1010.6","1014.1","24.1","14.0","53","1.2","360","3.5","360","0.0","0.0","1.0","2.45","--","4","--"
"13","1009.2","1012.7","25.7","14.8","51","1.3","70","3.9","50","0.0","0.0","1.0","2.41","--","4","--"
"14","1008.7","1012.2","26.4","15.5","51","0.6","330","3.9","60","0.0","0.0","1.0","2.11","70.0","3","2.0"
"15","1009.1","1012.6","24.6","15.5","57","1.9","320","7.3","340","0.0","0.0","1.0","1.57","--","1","--"
"16","1009.5","1013.0","23.2","15.8","63","1.7","320","7.4","340","0.0","0.0","1.0","0.86","--","0","--"
"17","1010.0","1013.6","22.0","16.3","70","0.8","290","4.2","280","0.0","0.0","0.7","0.20","30.0","0","2.0"
"18","1010.3","1013.9","21.5","16.5","73","0.5","320","3.0","300","0.0","0.0","0.0","0.00","--","0","--"
"19","1010.5","1014.1","20.5","16.9","80","0.8","210","2.2","260","0.0","0.0","0.0","0.00","--","0","--"
"20","1010.7","1014.3","20.1","16.0","77","1.0","150","3.0","170","0.0","0.0","--","0.00","--","0","--"
"21","1010.8","1014.4","19.5","16.2","81","1.3","180","2.5","210","0.0","0.0","--","0.00","--","0","--"
"22","1011.0","1014.6","19.0","15.9","82","0.9","180","2.7","180","0.0","0.0","--","0.00","--","0","--"
"23","1011.4","1015.0","18.5","15.9","85","0.9","220","2.0","200","0.0","0.0","--","0.00","--","0","--"
"24","1011.4","1015.0","18.1","15.5","85","1.4","230","2.3","220","0.0","0.0","--","0.00","--","0","--"
