active_time_zone,activity_class,activity_tracker_enabled,ant_device_number,ant_network,ant_transmission_type,auto_activity_detect,autosync_min_steps,autosync_min_time,avg_cadence,avg_cadence_position,avg_combined_pedal_smoothness,avg_fractional_cadence,avg_heart_rate,avg_left_pco,avg_left_pedal_smoothness,avg_left_power_phase,avg_left_power_phase_peak,avg_left_torque_effectiveness,avg_power,avg_power_position,avg_right_pco,avg_right_pedal_smoothness,avg_right_power_phase,avg_right_power_phase_peak,avg_right_torque_effectiveness,avg_speed,avg_stance_time,avg_stance_time_balance,avg_stance_time_percent,avg_step_length,avg_stroke_count,avg_stroke_distance,avg_temperature,avg_vertical_oscillation,avg_vertical_ratio,backlight_mode,battery_status,battery_voltage,ble_auto_upload_enabled,capabilities,cum_operating_time,custom_target_value_high,custom_target_value_low,date_mode,device_index,device_type,display_orientation,dist_setting,duration_step,duration_time,duration_type,elev_setting,end_position_lat,end_position_long,enhanced_avg_speed,enhanced_max_speed,equipment,event,event_group,event_type,exercise_category,exercise_name,exercise_weight,first_lap_index,first_length_index,friendly_name,garmin_product,gender,hardware_version,heart_rate,height,height_setting,hr_setting,intensity,intensity_factor,lactate_threshold_autodetect_enabled,language,lap_trigger,left_right_balance,local_timestamp,manufacturer,max_cadence,max_cadence_position,max_fractional_cadence,max_heart_rate,max_power,max_power_position,max_speed,max_temperature,message_index,mounting_side,move_alert_enabled,name,nec_lat,nec_long,normalized_power,notes,num_active_lengths,num_laps,num_lengths,num_sessions,num_valid_steps,number,number_of_screens,pool_length,pool_length_unit,position_setting,product,repeat_steps,resting_heart_rate,sensor_position,serial_number,sleep_time,software_version,source_type,speed_setting,sport,stand_count,start_position_lat,start_position_long,start_time,sub_sport,swc_lat,swc_long,swim_stroke,target_type,target_value,temperature,temperature_setting,threshold_power,time_created,time_mode,time_offset,time_standing,time_zone_offset,timer_trigger,timestamp,total_ascent,total_calories,total_cycles,total_descent,total_distance,total_elapsed_time,total_fat_calories,total_fractional_cycles,total_timer_time,total_work,training_stress_score,trigger,type,unknown_0,unknown_1,unknown_10,unknown_101,unknown_104,unknown_106,unknown_107,unknown_108,unknown_109,unknown_11,unknown_110,unknown_111,unknown_112,unknown_113,unknown_115,unknown_116,unknown_12,unknown_124,unknown_125,unknown_126,unknown_127,unknown_128,unknown_13,unknown_133,unknown_135,unknown_136,unknown_137,unknown_138,unknown_139,unknown_14,unknown_140,unknown_141,unknown_142,unknown_143,unknown_144,unknown_145,unknown_147,unknown_149,unknown_15,unknown_150,unknown_151,unknown_152,unknown_155,unknown_156,unknown_157,unknown_158,unknown_16,unknown_160,unknown_161,unknown_163,unknown_164,unknown_169,unknown_17,unknown_170,unknown_172,unknown_177,unknown_178,unknown_179,unknown_18,unknown_180,unknown_184,unknown_189,unknown_19,unknown_190,unknown_194,unknown_195,unknown_196,unknown_2,unknown_20,unknown_200,unknown_201,unknown_202,unknown_21,unknown_218,unknown_219,unknown_22,unknown_23,unknown_24,unknown_25,unknown_253,unknown_254,unknown_26,unknown_27,unknown_28,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_33,unknown_34,unknown_35,unknown_36,unknown_37,unknown_38,unknown_39,unknown_4,unknown_40,unknown_41,unknown_42,unknown_43,unknown_44,unknown_45,unknown_46,unknown_48,unknown_49,unknown_5,unknown_50,unknown_51,unknown_52,unknown_53,unknown_54,unknown_55,unknown_56,unknown_57,unknown_58,unknown_6,unknown_60,unknown_61,unknown_62,unknown_63,unknown_64,unknown_65,unknown_66,unknown_67,unknown_68,unknown_69,unknown_7,unknown_70,unknown_72,unknown_73,unknown_75,unknown_76,unknown_78,unknown_79,unknown_8,unknown_80,unknown_81,unknown_82,unknown_83,unknown_84,unknown_85,unknown_87,unknown_9,unknown_90,unknown_91,unknown_92,unknown_93,unknown_96,unknown_97,user_running_step_length,user_walking_step_length,utc_offset,wake_time,weight,weight_display_unit,weight_setting,wkt_name,wkt_step_index,wkt_step_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4063,,,,,,,,,,,,,,garmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3488215908,,,,,,,,,,,,,,,,,,,2024-11-20 15:34:11,,,,,,,,,,,,,,,,,,,activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101051248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timer,0,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manual,2024-11-20 15:34:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creator,,,,,,,,,,,,,,,,,,,,,,4063,,,,,,,,,,,,,,garmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3488215908,,3.25,local,,,,,,,,,,,,,,,,,,,,,,2024-11-20 15:34:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,,,,,,,,,,,,,,,,,,,,,,2024-11-20 15:34:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,local,,,,,,,,,,,,,,,,,,,,,,2024-11-20 15:34:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,,,,,,,,,,,,,,,,,,,,,4064,,,,,,,,,,,,,,garmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.65,local,,,,,,,,,,,,,,,,,,,,,,2024-11-20 15:34:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101051248,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,True,,,,9,2000,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto_brightness,,,True,,,,,month_day,,,landscape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,True,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,hour12,28800,,0.0,,,,,,,,,,,,,,,,,,0,1,"(3, 2, None, None, None, None, None, None, None, None)",,,,,2,,,,0,3,,,30,,1,1,1,,1,0,0,,,,30,1,0,,100,1,1,,0,50,,,,,,,,,1,,0,40,,,,2,,,,,,,,,,,,,,,,,,,,0,,,,,,,254,,,,2,,,,,,0,,,,,,,,,,,1,,0,0,,,,,,,,,,,,,1,,"(1, 0, 0, 0, 1, 0, 1)",,1,2,2,3,2,,,,,,,,,,,1,1,1,0,,1,,,,,0,,,,,0,,,,,,,
