activity_type,current_activity_type_intensity,cycles_to_calories,cycles_to_distance,data,data16,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
,,,,,,,,,4063,,,,garmin,84,,3488215908,,,,2024-12-02 16:00:00,,,monitoring_b,,,,,,,,,,,,,,,
,,,,,,,,,4063,,,,garmin,,,3488215908,3.25,,,,2024-12-02 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,200,,,,,,,,,
"(6, 1)",,"(0.039, 0.1234)","(1.5924, 2.3886)",,,,,,,,,2024-12-03 00:00:00,,,1942,,,,,,2024-12-02 16:00:00,,,,,,,,,,,,,,,"(5480, 5480)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 141, 176, 65, 0, 2, 0, 10, 158, 0, 0, 20, 60, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 141, 176, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2024-12-02 16:00:00,,,,,,,,,,,0,0,,,,,
,,,,,,on,,,,,,,,,,,,,,,,,,,,,,,,1102089600,,,,,,,,
,,,,200,200,,78,marker,,,,,,,,,,,,,2024-12-02 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 141, 176, 65, 0, 2, 0, 10, 158, 0, 0, 20, 60, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 141, 176, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
sedentary,"(8,)",,,,,,,,,,0,,,,,,,,,,2024-12-02 16:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(42, 42, 0, 16)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-12-02 16:01:00,82,,,,,,,,,,-76,,6,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1187,,,,,,1102089660,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(188, 141, 176, 65, 1, 0, 93, 93, 52, 1, 0, 161, 4, 60, 254, 176, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(188, 141, 176, 65, 1, 1, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,93,,,,,,,,,,,,36284,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(4, 116, 1, 176)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-12-02 16:02:00,84,,,,,,,,,,-78,,6,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1141,,,,,,1102089720,,,,,,,,
,,,,,,,,,,92,,,,,,,,,,,,36344,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(10, 0, 0, 24)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-12-02 16:03:00,86,,,,,,,,,,-81,,6,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1160,,,,,,1102089780,,,,,,,,
,,,,,,,,,,91,,,,,,,,,,,,36404,,,,,,,,,,,,,,,,
